SKU,Grade,Category,Brand,Title,Size,Colour,Price (£),Image URL,Status Available / Sold,Date Added
TT00001,A,,Puma,Hoodie,Xs,Black,£4.00,/products/TT00001/1.jpg,A,17/03/2026
TT00002,B,,Champion,Eagles Shorts,L,Black,£4.00,/products/TT00002/1.jpg,A,17/03/2026
TT00003,A,,Adidas,Shell Bottoms,L,Black,£8.00,/products/TT00003/1.jpg,S,17/03/2026
TT00004,A,,Nautica,Swim Shorts,S,Navy,£8.00,/products/TT00004/1.jpg,A,18/03/2026
TT00005,A,,Superdry,Oxford Shirt,L,Navy,£12.00,/products/TT00005/1.jpg,S,18/03/2026
TT00006,A,,Puma,Sweat Pants,M,Black,£7.00,/products/TT00006/1.jpg,A,18/03/2026
TT00007,A,,Adidas ,Shorts,S,Black,£4.00,/products/TT00007/1.jpg,A,18/03/2026
TT00008,A,,Nike,Hoodie,M,Grey,£8.00,/products/TT00008/1.jpg,A,18/03/2026
TT00009,A,,Lotto,Sweat Shirt,L,Navy,£10.00,/products/TT00009/1.jpg,A,18/03/2026
TT00010,A,,Under Armour,1/4 Zip Base Layer,S,Salmon,£9.00,/products/TT00010/1.jpg,A,18/03/2026
TT00011,A,,Penguin,S/S Shirt,XL ,Checkrd,£7.50,/products/TT00011/1.jpg,A,18/03/2026
TT00012,A,,Umbro,Swim Shorts,M,Navy,£4.00,/products/TT00012/1.jpg,A,18/03/2026
TT00013,A,,Under Armour,Shorts,M,Navy,£6.00,/products/TT00013/1.jpg,A,18/03/2026
TT00014,A,,Polo Ralph L,Swim Shorts,M,Multi,£10.00,/products/TT00014/1.jpg,A,18/03/2026
TT00015,A,,Under Armour,Shorts,M,Black,£6.00,/products/TT00015/1.jpg,A,18/03/2026
TT00016,A,,Under Armour,Shorts,S,Black,£6.00,/products/TT00016/1.jpg,A,18/03/2026
TT00017,A,,Nike,Shorts,M,Red,£7.00,/products/TT00017/1.jpg,A,18/03/2026
TT00018,A,,Champion,Shorts,L,Black,£5.00,/products/TT00018/1.jpg,A,18/03/2026
TT00019,B,,Champion,Shorts (Ladies),M,Black,£4.00,/products/TT00019/1.jpg,A,18/03/2026
TT00020,B,,Under Armour,Shorts,Y/L,Black,£5.00,/products/TT00020/1.jpg,A,18/03/2026
TT00021,A,,Under Armour,Shorts,M,Grey/Grn,£6.00,/products/TT00021/1.jpg,A,18/03/2026
TT00022,C,,Puma,Shorts,L,Grn,£3.00,/products/TT00022/1.jpg,A,18/03/2026
TT00023,B,,Nike,Shorts,XL ,Blue,£7.00,/products/TT00023/1.jpg,A,18/03/2026
TT00024,B,,Reebok,Shorts,L,Black,£6.00,/products/TT00024/1.jpg,A,18/03/2026
TT00025,A,,Ellesse,Dress Sweatshirt,8,Red,£10.00,/products/TT00025/1.jpg,S,18/03/2026
TT00026,A,,North Face,T-Shirt,XS,Black,£8.00,/products/TT00026/1.jpg,A,18/03/2026
TT00027,B,,Reebok,Sweatshirt,S,Grey,£7.00,/products/TT00027/1.jpg,A,18/03/2026
TT00028,A,,Nautica,Jumper,M,Navy,£10.00,/products/TT00028/1.jpg,A,18/03/2026
TT00029,A,,Pierre Cardin,Polo,S,Grn,£5.00,/products/TT00029/1.jpg,A,18/03/2026
TT00030,A,,Champion,Jumper,S,Grey,£7.00,/products/TT00030/1.jpg,A,18/03/2026
TT00031,A,,Nike,T-Shirt,M,Black,£5.00,/products/TT00031/1.jpg,A,18/03/2026
TT00032,A,,Adidas,T-Shirt,S,Red,£6.00,/products/TT00032/1.jpg,A,18/03/2026
TT00033,A,,French Conn,Polo,S,Black,£10.00,/products/TT00033/1.jpg,A,18/03/2026
TT00034,A,,Puma,Track Top,S,Grey/Blu,£8.00,/products/TT00034/1.jpg,A,18/03/2026
TT00035,B,,Champion,Jumper,M,Blue,£7.00,/products/TT00035/1.jpg,A,18/03/2026
TT00036,A,,Adidas,T-Shirt,S,Blue,£5.00,/products/TT00036/1.jpg,A,18/03/2026
TT00037,B,,Umbro,Sports Shirt,L,Nvy/Lime,£4.00,/products/TT00037/1.jpg,A,18/03/2026
TT00038,A,,Nike NFL,Packers Hoodie,3XL,Green,£35.00,/products/TT00038/1.jpg,S,18/03/2026
TT00039,A,,Ted Baker,L/S Shirt,15.5,Stripes,£15.00,/products/TT00039/1.jpg,S,18/03/2026
TT00040,A,,Ted Baker,L/S Shirt,16,Red,£15.00,/products/TT00040/1.jpg,A,18/03/2026
TT00041,A,,Ted Baker,L/S Shirt,5,Flower,£15.00,/products/TT00041/1.jpg,A,18/03/2026
TT00042,A,,Ted Baker,L/S Shirt,15,Blue,£15.00,/products/TT00042/1.jpg,A,18/03/2026
TT00043,A,,Ted Baker,L/S Shirt,15,Pink,£15.00,/products/TT00043/1.jpg,A,18/03/2026
TT00044,A,,Ted Baker,L/S Shirt,3,Red,£15.00,/products/TT00044/1.jpg,A,18/03/2026
TT00045,A,,Ted Baker,L/S Shirt,5,Blue Stripe,£15.00,/products/TT00045/1.jpg,A,18/03/2026
TT00046,A,,Ted Baker,L/S Shirt,4,Diamonds,£15.00,/products/TT00046/1.jpg,A,18/03/2026
TT00047,A,,Ted Baker,S/S Shirt,4,Green,£15.00,/products/TT00047/1.jpg,A,18/03/2026
TT00048,A,,Reiss,L/S Shirt,XS,Blue,£10.00,/products/TT00048/1.jpg,A,18/03/2026
TT00049,A,,Urban Outfit,L/S Shirt,XS,Checkrd,£8.00,/products/TT00049/1.jpg,A,18/03/2026
TT00050,B,,Wrangler,Jeans with pocket,32w29L,Blue,£14.00,/products/TT00050/1.jpg,A,18/03/2026
TT00051,C,,Wrangler,Work Jeans Dirty,33w32L,Blue,£10.00,/products/TT00051/1.jpg,A,18/03/2026
TT00052,A,,Wrangler,Stretch Jeans,40w30L,Blue,£14.00,/products/TT00052/1.jpg,A,18/03/2026
TT00053,B,803 Style,Wrangler,Denim Jeans,36w30L,Blue,£14.00,/products/TT00053/1.jpg,A,18/03/2026
TT00054,A,,Wrangler,Denim Jeans,33w32L,Blue,£14.00,/products/TT00054/1.jpg,A,18/03/2026
TT00055,B,Vintage,Wrangler,Denim Jeans,33w29L,Blue,£16.00,/products/TT00055/1.jpg,S,18/03/2026
TT00056,B,,Dickies,Faded Chino,32w27L,Black,£8.00,/products/TT00056/1.jpg,A,18/03/2026
TT00057,A,,Hunt Club,Vintage Lthr Bomb,48L,Brown,£45.00,/products/TT00057/1.jpg,S,18/03/2026
TT00058,C,,Bachrach,Vintage Lthr Jacket,XL ,Brown,£35.00,/products/TT00058/1.jpg,A,18/03/2026
TT00059,A,,Tommy Jeans,Parker Bomber,S,Black,£30.00,/products/TT00059/1.jpg,A,18/03/2026
TT00060,A,,Lambretta,Parka ,4XL,Navy,£30.00,/products/TT00060/1.jpg,A,18/03/2026
TT00061,A,,Zantos,Denim Jacket,2XL,Blue,£20.00,/products/TT00061/1.jpg,A,18/03/2026
TT00062,A,,Deluth,Vintage Workwear,3XL,Red,£30.00,/products/TT00062/1.jpg,A,18/03/2026
TT00063,B,,Barbour,Quilted Jacket,L,Black,£40.00,/products/TT00063/1.jpg,A,18/03/2026
TT00064,A,,US Polo Assn,Padded Bomber,XL ,DarkNavy,£25.00,/products/TT00064/1.jpg,A,18/03/2026
TT00065,A,WindCheater,Superdry,Jacket,L,Black,£35.00,/products/TT00065/1.jpg,A,18/03/2026
TT00066,B,Windbomber,Superdry,Jacket,M,Blue,£35.00,/products/TT00066/1.jpg,A,18/03/2026
TT00067,A,,Craghopper,Aquadry Jacket,L,Black,£30.00,/products/TT00067/1.jpg,A,18/03/2026
TT00068,A,Duffer by,St George,Workwear,L,Grey,£25.00,/products/TT00068/1.jpg,S,18/03/2026
TT00069,A,,US Polo Assn,Wind Breaker,XL ,Navy,£25.00,/products/TT00069/1.jpg,A,18/03/2026
TT00070,B,,H&M,1/4 Zip Winbreaker,XL ,Green,£10.00,/products/TT00070/1.jpg,A,18/03/2026
TT00071,A,,Old Navy,Vintage Workwear,3XL,Sand,£35.00,/products/TT00071/1.jpg,A,18/03/2026
TT00072,A,Full Zip ,Umbro,Track Suit Top ful zip,M,Black,£5.00,/products/TT00072/1.jpg,A,05/04/2026
TT00073,A,Wind Breaker,Puma,Wind Breaker Hooded,3xl,Blue,£10.00,/products/TT00073/1.jpg,A,05/04/2026
TT00074,A,Long Hoodie,Nike,3D swoosh Hoodie,L,Green,£9.00,/products/TT00074/1.jpg,A,05/04/2026
TT00075,A,Hoodie,Nike,Hoodie,M,Navy,£9.00,/products/TT00075/1.jpg,A,05/04/2026
TT00076,A,Hoodie,The North Face,Hoodie,W/S,Camo,£12.00,/products/TT00076/1.jpg,A,05/04/2026
TT00077,B+,Hoodie,The North Face,Hoodie,L,Grey,£15.00,/products/TT00077/1.jpg,A,05/04/2026
